Designator,Mid X,Mid Y,Rotation,Layer
L7,105.35,-52.1,0.0,top
NT1,129.15,-143.05,90.0,top
NT2,129.2,-140.25,270.0,top
Q1,137.75,-151.975,270.0,top
Q10,109.665,-92.9,0.0,top
Q11,109.55,-111.08,90.0,top
Q12,113.65,-44.45,270.0,top
Q13,110.35,-46.65,270.0,top
Q14,122.2875,-40.65,0.0,top
Q15,127.309571,-98.147069,180.0,top
Q2,137.775,-151.0,180.0,top
Q3,137.75,-153.1,270.0,top
Q4,138.825,-153.15,0.0,top
Q5,100.58,-126.2,90.0,top
Q6,100.58,-122.9,90.0,top
Q7,103.8325,-97.545,180.0,top
Q8,103.8325,-102.995,180.0,top
Q9,113.6275,-92.0,180.0,top
R1,141.55,-138.65,180.0,bottom
R10,118.45,-137.05,270.0,top
R100,112.15,-75.75,90.0,top
R101,117.95,-48.45,90.0,top
R102,124.8875,-40.85,270.0,top
R103,124.85,-97.95,90.0,top
R104,139.889999,-102.255,90.0,top
R105,141.369999,-102.375001,90.0,top
R106,129.36,-96.1,0.0,top
R107,129.962071,-99.082069,90.0,top
R108,128.75,-99.65,270.0,top
R109,144.589999,-107.765,180.0,top
R11,117.15,-136.9975,270.0,top
R110,129.412071,-97.102069,0.0,top
R111,145.439999,-114.065,180.0,top
R113,145.979999,-108.795,180.0,top
R114,137.787071,-118.84207,180.0,top
R115,141.139999,-117.75,180.0,top
R116,143.199999,-117.475,270.0,top
R117,129.782071,-90.692069,0.0,top
R119,128.412071,-95.102069,0.0,top
R12,127.55,-149.15,90.0,top
R120,147.612071,-90.422068,270.0,top
R121,132.882071,-85.902069,0.0,top
R122,129.532071,-85.902069,0.0,top
R123,140.35,-119.05,0.0,top
R124,133.332071,-83.682069,90.0,top
R125,150.542071,-87.502069,180.0,top
R126,149.132071,-88.012069,270.0,top
R127,148.192071,-88.012068,90.0,top
R128,153.884999,-88.05,90.0,top
R129,150.622071,-92.452069,0.0,top
R13,128.55,-149.16,90.0,top
R130,148.662071,-92.952069,270.0,top
R131,149.492071,-90.512069,270.0,top
R132,149.832928,-102.627929,0.0,top
R133,119.35,-142.05,0.0,bottom
R134,103.45,-84.45,90.0,top
R14,127.37,-142.3,0.0,top
R15,127.37,-141.0,0.0,top
R16,103.5,-141.35,180.0,top
R17,103.5,-142.35,180.0,top
R18,105.65,-149.9,0.0,top
R19,105.7,-148.65,180.0,top
R2,141.95,-141.3,180.0,bottom
R20,126.75,-150.6,270.0,bottom
R21,131.75,-143.1525,90.0,top
R22,120.9,-137.05,90.0,top
R23,119.65,-136.9975,90.0,top
R24,126.95,-145.45,90.0,top
R25,105.5,-146.1,180.0,top
R26,127.8,-157.65,180.0,bottom
R27,145.75,-145.7,270.0,top
R28,138.85,-151.5,90.0,top
R29,138.35,-150.05,180.0,top
R3,141.9,-143.0,180.0,bottom
R30,136.25,-154.1,180.0,top
R31,138.25,-154.1,0.0,top
R32,99.6,-92.81,90.0,top
R33,99.6,-90.21,90.0,top
R34,98.0,-96.85,0.0,top
R35,130.1625,-148.3475,0.0,top
R36,130.1625,-147.3475,0.0,top
R37,130.1625,-146.3475,0.0,top
R38,128.52,-145.7,270.0,top
R39,108.3,-118.05,0.0,top
R4,142.2,-146.35,180.0,bottom
R40,117.96125,-121.55,180.0,top
R41,117.96125,-124.55,270.0,top
R42,105.76125,-121.25,270.0,top
R43,111.86125,-127.65,270.0,top
R44,103.76125,-124.15,180.0,top
R45,108.26125,-126.15,270.0,top
R46,112.98,-127.65,270.0,top
R47,103.86125,-129.95,180.0,top
R48,106.86125,-124.75,270.0,top
R49,107.75,-98.65,270.0,top
R5,128.45,-160.8,180.0,top
R51,108.8125,-106.45,0.0,top
R52,108.8,-108.05,180.0,top
R53,108.25,-95.65,0.0,top
R54,108.05,-103.95,270.0,top
R55,109.89,-113.95,180.0,top
R56,109.75,-104.8,0.0,top
R57,107.95,-101.35,270.0,top
R58,115.39,-112.15,0.0,top
R59,109.74,-103.65,0.0,top
R6,104.75,-159.85,90.0,top
R60,111.7275,-89.9,180.0,top
R61,109.7275,-90.6,0.0,top
R62,107.6275,-94.1,180.0,top
R63,111.59,-107.85,270.0,top
R66,111.99,-97.95,0.0,top
R67,113.25,-51.36,90.0,top
R68,111.15,-72.4,90.0,top
R69,104.52,-40.94,270.0,top
R7,103.65,-159.85,90.0,top
R70,105.65,-73.95,270.0,top
R71,112.35,-55.25,180.0,top
R72,112.25,-72.4,90.0,top
R74,110.15,-43.65,0.0,top
R75,104.5175,-47.1,270.0,top
R76,109.54,-55.75,180.0,top
R77,113.65,-46.95,180.0,top
R78,105.15,-71.55,180.0,top
R79,108.05,-46.65,90.0,top
R80,104.25,-53.0,0.0,top
R81,104.85,-54.5525,270.0,top
R82,101.55,-72.85,180.0,top
R83,105.45,-56.15,180.0,top
R84,109.48,-85.78,0.0,top
R85,110.49,-87.34,0.0,top
R86,111.28,-84.43,0.0,top
R87,112.18,-85.78,0.0,top
R88,105.4775,-83.58,0.0,top
R89,112.18,-81.78,180.0,top
R9,127.0,-160.34,270.0,top
R90,109.48,-81.38,180.0,top
R91,111.78,-83.18,180.0,top
R92,150.75,-43.05,90.0,top
R94,116.75,-48.45,270.0,top
R95,147.35,-44.65,270.0,top
R96,146.04,-60.85,180.0,top
R97,146.15,-70.45,180.0,top
R98,146.15,-68.45,180.0,top
R99,117.15,-73.45,180.0,top
RN1,128.37,-147.9,270.0,bottom
SW1,129.45,-163.35,180.0,top
SW2,103.95,-163.25,0.0,top
SW3,104.59,-113.25,180.0,top
SW4,100.75,-60.65,90.0,top
SW5,116.15,-54.06,0.0,top
TH1,138.775,-58.25,0.0,bottom
TH2,112.975,-58.35,180.0,bottom
TH3,137.65,-105.0,180.0,bottom
TH4,112.65,-84.35,180.0,bottom
TH5,112.65,-105.0,180.0,bottom
TP1,130.67,-124.1,0.0,top
TP10,147.219999,-106.895,270.0,top
TP11,125.252071,-94.587069,270.0,top
TP12,131.13,-102.90268073719376,60.0,top
TP13,136.43,-83.7,180.0,top
TP14,153.884999,-93.68,90.0,top
TP15,116.75,-139.85,0.0,bottom
TP16,149.322928,-110.607929,90.0,top
TP2,103.38,-117.8,180.0,top
TP3,115.55,-126.55,0.0,top
TP4,103.87,-93.55,0.0,top
TP5,110.05,-75.93,90.0,top
TP6,141.63,-83.7,180.0,top
TP7,141.472928,-99.977929,270.0,top
TP8,146.999999,-117.915,0.0,top
TP9,127.599999,-88.005,180.0,top
